,增长,通胀,利率,信用,海外,美元
2014-10-26,-1.0,-1.0,1.0,-1.0,1.0,1.0
2014-11-02,1.0,-1.0,1.0,-1.0,1.0,1.0
2014-11-09,1.0,-1.0,1.0,-1.0,1.0,1.0
2014-11-16,1.0,-1.0,1.0,-1.0,1.0,1.0
2014-11-23,-1.0,-1.0,1.0,-1.0,1.0,1.0
2014-11-30,1.0,-1.0,1.0,1.0,1.0,1.0
2014-12-07,1.0,-1.0,1.0,-1.0,1.0,1.0
2014-12-14,1.0,-1.0,1.0,-1.0,1.0,1.0
2014-12-21,1.0,-1.0,1.0,-1.0,1.0,1.0
2014-12-28,1.0,-1.0,1.0,-1.0,1.0,1.0
2015-01-04,1.0,-1.0,1.0,-1.0,1.0,1.0
2015-01-11,1.0,1.0,1.0,-1.0,-1.0,1.0
2015-01-18,-1.0,1.0,1.0,-1.0,-1.0,1.0
2015-01-25,-1.0,1.0,-1.0,-1.0,1.0,1.0
2015-02-01,-1.0,1.0,-1.0,1.0,-1.0,1.0
2015-02-08,-1.0,1.0,-1.0,1.0,1.0,1.0
2015-02-15,-1.0,1.0,-1.0,-1.0,1.0,1.0
2015-02-22,-1.0,1.0,-1.0,-1.0,1.0,1.0
2015-03-01,1.0,-1.0,-1.0,-1.0,1.0,1.0
2015-03-08,-1.0,-1.0,-1.0,-1.0,1.0,1.0
2015-03-15,1.0,-1.0,-1.0,-1.0,1.0,1.0
2015-03-22,1.0,1.0,-1.0,1.0,-1.0,1.0
2015-03-29,1.0,1.0,-1.0,1.0,-1.0,1.0
2015-04-05,1.0,1.0,-1.0,1.0,-1.0,1.0
2015-04-12,1.0,1.0,-1.0,1.0,-1.0,1.0
2015-04-19,1.0,1.0,-1.0,1.0,-1.0,1.0
2015-04-26,1.0,1.0,-1.0,1.0,-1.0,-1.0
2015-05-03,1.0,1.0,1.0,1.0,1.0,-1.0
2015-05-10,1.0,1.0,-1.0,1.0,1.0,-1.0
2015-05-17,1.0,1.0,1.0,1.0,1.0,-1.0
2015-05-24,1.0,1.0,1.0,1.0,1.0,-1.0
2015-05-31,1.0,1.0,-1.0,1.0,1.0,-1.0
2015-06-07,1.0,1.0,-1.0,1.0,1.0,-1.0
2015-06-14,1.0,1.0,-1.0,1.0,1.0,-1.0
